ID,RSU ID,RSU Code,Hoto Date ,ID (Executed),Executed FAT (Executed),Executed HP (Executed),Hoto Item (Executed),Incremental Hoto(fibre length) (Executed)
,,04O,2023-06-30,,139,1696,SER-FSDU-CFT-6F,0
,,04O,2023-06-30,,139,1696,SER-FSDU-CFT-12F,13501
,,04O,2023-06-30,,139,1696,SER-FSDU-CFT-24F,0
,,04O,2023-06-30,,139,1696,SER-FSDU-CFT-48F,0
,,K0E,2023-04-30,,174,2088,SER-FSDU-CFT-6F,0
,,K0E,2023-04-30,,174,2088,SER-FSDU-CFT-12F,15235
,,K0E,2023-04-30,,174,2088,SER-FSDU-CFT-24F,6332
,,K0E,2023-04-30,,174,2088,SER-FSDU-CFT-48F,0
,,M0T,2023-01-20,,52,672,SER-FSDU-CFT-6F,0
,,M0T,2023-01-20,,52,672,SER-FSDU-CFT-12F,6743
,,M0T,2023-01-20,,52,672,SER-FSDU-CFT-24F,0
,,M0T,2023-01-20,,52,672,SER-FSDU-CFT-48F,0
,,S6J,2023-08-10,,98,1296,SER-FSDU-CFT-6F,0
,,S6J,2023-08-10,,98,1296,SER-FSDU-CFT-12F,4611
,,S6J,2023-08-10,,98,1296,SER-FSDU-CFT-24F,1490
,,S6J,2023-08-10,,98,1296,SER-FSDU-CFT-48F,0
,,S8O,2023-12-20,,196,1968,SER-FSDU-CFT-6F,0
,,S8O,2023-12-20,,196,1968,SER-FSDU-CFT-12F,14990
,,S8O,2023-12-20,,196,1968,SER-FSDU-CFT-24F,0
,,S8O,2023-12-20,,196,1968,SER-FSDU-CFT-48F,0
,,S8P,2023-08-31,,110,1336,SER-FSDU-CFT-6F,0
,,S8P,2023-08-31,,110,1336,SER-FSDU-CFT-12F,11201
,,S8P,2023-08-31,,110,1336,SER-FSDU-CFT-24F,0
,,S8P,2023-08-31,,110,1336,SER-FSDU-CFT-48F,0
,,SHT,2023-04-30,,210,3184,SER-FSDU-CFT-6F,0
,,SHT,2023-04-30,,210,3184,SER-FSDU-CFT-12F,9036
,,SHT,2023-04-30,,210,3184,SER-FSDU-CFT-24F,2589
,,SHT,2023-04-30,,210,3184,SER-FSDU-CFT-48F,0
