"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"","04O-0","","M&G","","","SER-FSDU-CFT-6F",142,0,2094
"","","","","","","SER-FSDU-CFT-12F",142,0,2094
"","","","","","","SER-FSDU-CFT-24F",142,0,2094
"","","","","","","SER-FSDU-CFT-48F",142,0,2094
"","K0E-0","","M&G","","","SER-FSDU-CFT-6F",168,0,2508
"","","","","","","SER-FSDU-CFT-12F",168,0,2508
"","","","","","","SER-FSDU-CFT-24F",168,0,2508
"","","","","","","SER-FSDU-CFT-48F",168,0,2508
"","M0T-0","","M&G","","","SER-FSDU-CFT-6F",49,0,824
"","","","","","","SER-FSDU-CFT-12F",49,0,824
"","","","","","","SER-FSDU-CFT-24F",49,0,824
"","","","","","","SER-FSDU-CFT-48F",49,0,824
"","S6J-0","","M&G","","","SER-FSDU-CFT-6F",136,0,1604
"","","","","","","SER-FSDU-CFT-12F",136,0,1604
"","","","","","","SER-FSDU-CFT-24F",136,0,1604
"","","","","","","SER-FSDU-CFT-48F",136,0,1604
"","S8O-0","","M&G","","","SER-FSDU-CFT-6F",182,0,3037
"","","","","","","SER-FSDU-CFT-12F",182,0,3037
"","","","","","","SER-FSDU-CFT-24F",182,0,3037
"","","","","","","SER-FSDU-CFT-48F",182,0,3037
"","S8P-0","","M&G","","","SER-FSDU-CFT-6F",147,0,2462
"","","","","","","SER-FSDU-CFT-12F",147,0,2462
"","","","","","","SER-FSDU-CFT-24F",147,0,2462
"","","","","","","SER-FSDU-CFT-48F",147,0,2462
"","IPS,1WB,SHT-0","","M&G","","","SER-FSDU-CFT-6F",262,0,4000
"","","","","","","SER-FSDU-CFT-12F",262,0,4000
"","","","","","","SER-FSDU-CFT-24F",262,0,4000
"","","","","","","SER-FSDU-CFT-48F",262,0,4000
