"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"","0D3-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",134,0,2144
"","","","","","","SER-FSDU-CFT-12F",134,0,2144
"","","","","","","SER-FSDU-CFT-24F",134,0,2144
"","","","","","","SER-FSDU-CFT-48F",134,0,2144
"","0FS-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",122,0,1952
"","","","","","","SER-FSDU-CFT-12F",122,0,1952
"","","","","","","SER-FSDU-CFT-24F",122,0,1952
"","","","","","","SER-FSDU-CFT-48F",122,0,1952
"","20I-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",59,0,472
"","","","","","","SER-FSDU-CFT-12F",59,0,472
"","","","","","","SER-FSDU-CFT-24F",59,0,472
"","","","","","","SER-FSDU-CFT-48F",59,0,472
"","25Z-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",193,0,1544
"","","","","","","SER-FSDU-CFT-12F",193,0,1544
"","","","","","","SER-FSDU-CFT-24F",193,0,1544
"","","","","","","SER-FSDU-CFT-48F",193,0,1544
"","27C-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",256,0,2048
"","","","","","","SER-FSDU-CFT-12F",256,0,2048
"","","","","","","SER-FSDU-CFT-24F",256,0,2048
"","","","","","","SER-FSDU-CFT-48F",256,0,2048
"","29B-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",102,0,1632
"","","","","","","SER-FSDU-CFT-12F",102,0,1632
"","","","","","","SER-FSDU-CFT-24F",102,0,1632
"","","","","","","SER-FSDU-CFT-48F",102,0,1632
"","29B-2-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",10,0,80
"","","","","","","SER-FSDU-CFT-12F",10,0,80
"","","","","","","SER-FSDU-CFT-24F",10,0,80
"","","","","","","SER-FSDU-CFT-48F",10,0,80
"","29C-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",269,0,2480
"","","","","","","SER-FSDU-CFT-12F",269,0,2480
"","","","","","","SER-FSDU-CFT-24F",269,0,2480
"","","","","","","SER-FSDU-CFT-48F",269,0,2480
"","2DL-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",72,0,736
"","","","","","","SER-FSDU-CFT-12F",72,0,736
"","","","","","","SER-FSDU-CFT-24F",72,0,736
"","","","","","","SER-FSDU-CFT-48F",72,0,736
"","2F2-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",218,0,3488
"","","","","","","SER-FSDU-CFT-12F",218,0,3488
"","","","","","","SER-FSDU-CFT-24F",218,0,3488
"","","","","","","SER-FSDU-CFT-48F",218,0,3488
"","2F2 -2-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",11,0,88
"","","","","","","SER-FSDU-CFT-12F",11,0,88
"","","","","","","SER-FSDU-CFT-24F",11,0,88
"","","","","","","SER-FSDU-CFT-48F",11,0,88
"","2F9-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",147,0,1176
"","","","","","","SER-FSDU-CFT-12F",147,0,1176
"","","","","","","SER-FSDU-CFT-24F",147,0,1176
"","","","","","","SER-FSDU-CFT-48F",147,0,1176
"","2MQ-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",219,0,1752
"","","","","","","SER-FSDU-CFT-12F",219,0,1752
"","","","","","","SER-FSDU-CFT-24F",219,0,1752
"","","","","","","SER-FSDU-CFT-48F",219,0,1752
"","2N1-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",202,0,1616
"","","","","","","SER-FSDU-CFT-12F",202,0,1616
"","","","","","","SER-FSDU-CFT-24F",202,0,1616
"","","","","","","SER-FSDU-CFT-48F",202,0,1616
"","2N3-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",94,0,896
"","","","","","","SER-FSDU-CFT-12F",94,0,896
"","","","","","","SER-FSDU-CFT-24F",94,0,896
"","","","","","","SER-FSDU-CFT-48F",94,0,896
"","2XP-0","DEL 1 Year Fix","DEL","","","SER-FSDU-CFT-6F",105,0,1672
"","","","","","","SER-FSDU-CFT-12F",105,0,1672
"","","","","","","SER-FSDU-CFT-24F",105,0,1672
"","","","","","","SER-FSDU-CFT-48F",105,0,1672
