"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"YPR-0-KTK-11498","YPR-0","KTK 1 Year Fix","KTK","","1ne9h074fk","SER-FSDU-CFT-6F",218,0,2522
"","","","","","1ne99j2tt3","SER-FSDU-CFT-12F",218,0,2522
"","","","","","1ne9oc7g97","SER-FSDU-CFT-24F",218,0,2522
"","","","","","1ne9i7l36o","SER-FSDU-CFT-48F",218,0,2522
"WOR-0-KTK-11497","WOR-0","KTK 1 Year Fix","KTK","","1ne9snhirf","SER-FSDU-CFT-6F",292,0,2480
"","","","","","1ne91l5m19","SER-FSDU-CFT-12F",292,0,2480
"","","","","","1ne900orio","SER-FSDU-CFT-24F",292,0,2480
"","","","","","1ne9e46n0m","SER-FSDU-CFT-48F",292,0,2480
"WFD-0-KTK-11496","WFD-0","KTK 1 Year Fix","KTK","","1ne800r4jf","SER-FSDU-CFT-6F",325,0,3016
"","","","","","1ne89eu2f0","SER-FSDU-CFT-12F",325,0,3016
"","","","","","1ne86ft4bi","SER-FSDU-CFT-24F",325,0,3016
"","","","","","1ne871laqt","SER-FSDU-CFT-48F",325,0,3016
"VVU-0-KTK-11495","VVU-0","KTK 1 Year Fix","KTK","","1ne8mont7k","SER-FSDU-CFT-6F",250,0,2520
"","","","","","1ne8etauj2","SER-FSDU-CFT-12F",250,0,2520
"","","","","","1ne8deuabo","SER-FSDU-CFT-24F",250,0,2520
"","","","","","1ne8m3go4a","SER-FSDU-CFT-48F",250,0,2520
"VTL-0-KTK-11494","VTL-0","KTK 1 Year Fix","KTK","","1ne8b5kap3","SER-FSDU-CFT-6F",136,0,1296
"","","","","","1ne86krdef","SER-FSDU-CFT-12F",136,0,1296
"","","","","","1ne84e3op7","SER-FSDU-CFT-24F",136,0,1296
"","","","","","1ne8l0objn","SER-FSDU-CFT-48F",136,0,1296
"VRZ-0-KTK-11493","VRZ-0","KTK 1 Year Fix","KTK","","1ne845ug8s","SER-FSDU-CFT-6F",230,0,1872
"","","","","","1ne8pmsdfp","SER-FSDU-CFT-12F",230,0,1872
"","","","","","1ne8uk8n08","SER-FSDU-CFT-24F",230,0,1872
"","","","","","1ne8sb0uka","SER-FSDU-CFT-48F",230,0,1872
"VRG-0-KTK-11492","VRG-0","KTK 1 Year Fix","KTK","","1ne8b4mp42","SER-FSDU-CFT-6F",259,0,3000
"","","","","","1ne8nfj8oh","SER-FSDU-CFT-12F",259,0,3000
"","","","","","1ne847cqgv","SER-FSDU-CFT-24F",259,0,3000
"","","","","","1ne89dalhb","SER-FSDU-CFT-48F",259,0,3000
"VPC-0-KTK-11491","VPC-0","KTK 1 Year Fix","KTK","","1ne8vndlo5","SER-FSDU-CFT-6F",112,0,944
"","","","","","1ne8bv304m","SER-FSDU-CFT-12F",112,0,944
"","","","","","1ne8it1ejk","SER-FSDU-CFT-24F",112,0,944
"","","","","","1ne8q8c4sv","SER-FSDU-CFT-48F",112,0,944
"VGL-0-KTK-11490","VGL-0","KTK 1 Year Fix","KTK","Karnataka","1ne8qpdb71","SER-FSDU-CFT-6F",271,0,2512
"","","","","","1ne8lsoi17","SER-FSDU-CFT-12F",271,0,2512
"","","","","","1ne8ik3ag1","SER-FSDU-CFT-24F",271,0,2512
"","","","","","1ne8l7treg","SER-FSDU-CFT-48F",271,0,2512
"ULS-0-KTK-11489","ULS-0","KTK 1 Year Fix","KTK","","1ne84s9f44","SER-FSDU-CFT-6F",169,0,1812
"","","","","","1ne8qps7c2","SER-FSDU-CFT-12F",169,0,1812
"","","","","","1ne89e36ue","SER-FSDU-CFT-24F",169,0,1812
"","","","","","1ne80liorv","SER-FSDU-CFT-48F",169,0,1812
"ULR-0-KTK-11488","ULR-0","KTK 1 Year Fix","KTK","","1ne81c1cke","SER-FSDU-CFT-6F",308,0,2512
"","","","","","1ne8up5r44","SER-FSDU-CFT-12F",308,0,2512
"","","","","","1ne8umf1qh","SER-FSDU-CFT-24F",308,0,2512
"","","","","","1ne8ksn47f","SER-FSDU-CFT-48F",308,0,2512
"ULK-0-KTK-11487","ULK-0","KTK 1 Year Fix","KTK","","1ne7ok9osa","SER-FSDU-CFT-6F",136,0,2861
"","","","","","1ne70qbaaa","SER-FSDU-CFT-12F",136,0,2861
"","","","","","1ne7bmo3cj","SER-FSDU-CFT-24F",136,0,2861
"","","","","","1ne7tlap94","SER-FSDU-CFT-48F",136,0,2861
"ULB-0-KTK-11486","ULB-0","KTK 1 Year Fix","KTK","","1ne7nmthsh","SER-FSDU-CFT-6F",407,0,3912
"","","","","","1ne796dsi1","SER-FSDU-CFT-12F",407,0,3912
"","","","","","1ne72eftda","SER-FSDU-CFT-24F",407,0,3912
"","","","","","1ne7clncev","SER-FSDU-CFT-48F",407,0,3912
"TYG-0-KTK-11485","TYG-0","KTK 1 Year Fix","KTK","","1ne7dknmrj","SER-FSDU-CFT-6F",252,0,2184
"","","","","","1ne7f879hm","SER-FSDU-CFT-12F",252,0,2184
"","","","","","1ne7qrcd8s","SER-FSDU-CFT-24F",252,0,2184
"","","","","","1ne7mqv8dh","SER-FSDU-CFT-48F",252,0,2184
"TRN-0-KTK-11484","TRN-0","KTK 1 Year Fix","KTK","","1ne7cl8ved","SER-FSDU-CFT-6F",347,0,2864
"","","","","","1ne7mta43k","SER-FSDU-CFT-12F",347,0,2864
"","","","","","1ne7107ao1","SER-FSDU-CFT-24F",347,0,2864
"","","","","","1ne7ieff0p","SER-FSDU-CFT-48F",347,0,2864
"TCH-0-KTK-11483","TCH-0","KTK 1 Year Fix","KTK","","1ne7fkbv17","SER-FSDU-CFT-6F",250,0,2080
"","","","","","1ne73998hc","SER-FSDU-CFT-12F",250,0,2080
"","","","","","1ne733ejp9","SER-FSDU-CFT-24F",250,0,2080
"","","","","","1ne7lha8ih","SER-FSDU-CFT-48F",250,0,2080
"SZM-0-KTK-11482","SZM-0","KTK 1 Year Fix","KTK","","1ne793fn29","SER-FSDU-CFT-6F",202,0,1616
"","","","","","1ne7tjmrsm","SER-FSDU-CFT-12F",202,0,1616
"","","","","","1ne7403mgg","SER-FSDU-CFT-24F",202,0,1616
"","","","","","1ne7g1fqio","SER-FSDU-CFT-48F",202,0,1616
"SZC-0-KTK-11481","SZC-0","KTK 1 Year Fix","KTK","","1ne79gat44","SER-FSDU-CFT-6F",143,0,1280
"","","","","","1ne7mrcoke","SER-FSDU-CFT-12F",143,0,1280
"","","","","","1ne79m69r2","SER-FSDU-CFT-24F",143,0,1280
"","","","","","1ne7cru7b2","SER-FSDU-CFT-48F",143,0,1280
"SWD-0-KTK-11480","SWD-0","KTK 1 Year Fix","KTK","","1ne75l3hvc","SER-FSDU-CFT-6F",209,0,1768
"","","","","","1ne7qai2t6","SER-FSDU-CFT-12F",209,0,1768
"","","","","","1ne7sdsmi1","SER-FSDU-CFT-24F",209,0,1768
"","","","","","1ne7e2rq2d","SER-FSDU-CFT-48F",209,0,1768
"SVN-0-KTK-11479","SVN-0","KTK 1 Year Fix","KTK","","1ne6lf9de2","SER-FSDU-CFT-6F",378,0,3248
"","","","","","1ne6be8pjf","SER-FSDU-CFT-12F",378,0,3248
"","","","","","1ne6tdaf1r","SER-FSDU-CFT-24F",378,0,3248
"","","","","","1ne66q0r7o","SER-FSDU-CFT-48F",378,0,3248
"SUN-0-KTK-11478","SUN-0","KTK 1 Year Fix","KTK","","1ne6is4ik9","SER-FSDU-CFT-6F",35,0,456
"","","","","","1ne6gi5qbc","SER-FSDU-CFT-12F",35,0,456
"","","","","","1ne652io3t","SER-FSDU-CFT-24F",35,0,456
"","","","","","1ne6jk0a31","SER-FSDU-CFT-48F",35,0,456
"SUA-0-KTK-11477","SUA-0","KTK 1 Year Fix","KTK","","1ne6i7nkod","SER-FSDU-CFT-6F",178,0,1610
"","","","","","1ne6fdjgtk","SER-FSDU-CFT-12F",178,0,1610
"","","","","","1ne65ro6fj","SER-FSDU-CFT-24F",178,0,1610
"","","","","","1ne6pq6nnm","SER-FSDU-CFT-48F",178,0,1610
"SSW-0-KTK-11476","SSW-0","KTK 1 Year Fix","KTK","","1ne6khbdr5","SER-FSDU-CFT-6F",136,0,1088
"","","","","","1ne64o1ak3","SER-FSDU-CFT-12F",136,0,1088
"","","","","","1ne6gh9jlu","SER-FSDU-CFT-24F",136,0,1088
"","","","","","1ne604d9jf","SER-FSDU-CFT-48F",136,0,1088
"SSR-0-KTK-11475","SSR-0","KTK 1 Year Fix","KTK","Karnataka","1ne6msetvs","SER-FSDU-CFT-6F",177,0,1544
"","","","","","1ne63s8vo5","SER-FSDU-CFT-12F",177,0,1544
"","","","","","1ne6jhq23r","SER-FSDU-CFT-24F",177,0,1544
"","","","","","1ne6gn9lns","SER-FSDU-CFT-48F",177,0,1544
"SSO-0-KTK-11474","SSO-0","KTK 1 Year Fix","KTK","Karnataka","1ne6vgc9h7","SER-FSDU-CFT-6F",67,0,648
"","","","","","1ne6r37uf8","SER-FSDU-CFT-12F",67,0,648
"","","","","","1ne6ev7ik4","SER-FSDU-CFT-24F",67,0,648
"","","","","","1ne6hi2r4k","SER-FSDU-CFT-48F",67,0,648
"SSL-0-KTK-11473","SSL-0","KTK 1 Year Fix","KTK","","1ne6iqsk1m","SER-FSDU-CFT-6F",201,0,1808
"","","","","","1ne6n5acs0","SER-FSDU-CFT-12F",201,0,1808
"","","","","","1ne6oq2cji","SER-FSDU-CFT-24F",201,0,1808
"","","","","","1ne6gq2co4","SER-FSDU-CFT-48F",201,0,1808
"SRP-0-KTK-11472","SRP-0","KTK 1 Year Fix","KTK","","1ne6c8khf5","SER-FSDU-CFT-6F",375,0,4414
"","","","","","1ne6ccbdqm","SER-FSDU-CFT-12F",375,0,4414
"","","","","","1ne6hger0u","SER-FSDU-CFT-24F",375,0,4414
"","","","","","1ne62r8rdc","SER-FSDU-CFT-48F",375,0,4414
"SRK-0-KTK-11471","SRK-0","KTK 1 Year Fix","KTK","","1ne5jo4sgm","SER-FSDU-CFT-6F",290,0,2416
"","","","","","1ne5bovt3f","SER-FSDU-CFT-12F",290,0,2416
"","","","","","1ne55bfcdc","SER-FSDU-CFT-24F",290,0,2416
"","","","","","1ne5t4o0e1","SER-FSDU-CFT-48F",290,0,2416
"SRA-0-KTK-11470","SRA-0","KTK 1 Year Fix","KTK","","1ne5ujlvc5","SER-FSDU-CFT-6F",100,0,1232
"","","","","","1ne5qsgdef","SER-FSDU-CFT-12F",100,0,1232
"","","","","","1ne5ovbart","SER-FSDU-CFT-24F",100,0,1232
