"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"IPS,1WB,SHT-0-M&G-11056","IPS,1WB,SHT-0","","M&G","","7mr18obcci","SER-FSDU-CFT-6F",262,0,4000
"","","","","","7mr1dlvne8","SER-FSDU-CFT-12F",262,0,4000
"","","","","","7mr1a4jq2t","SER-FSDU-CFT-24F",262,0,4000
"","","","","","7mr18ag33s","SER-FSDU-CFT-48F",262,0,4000
"S8P-0-M&G-11055","S8P-0","","M&G","","7mr1fso48a","SER-FSDU-CFT-6F",147,0,2462
"","","","","","7mr1f055s2","SER-FSDU-CFT-12F",147,0,2462
"","","","","","7mr1unt3o1","SER-FSDU-CFT-24F",147,0,2462
"","","","","","7mr1m9d54r","SER-FSDU-CFT-48F",147,0,2462
"S8O-0-M&G-11054","S8O-0","","M&G","","7mr1neo6fn","SER-FSDU-CFT-6F",182,0,3037
"","","","","","7mr12ass6h","SER-FSDU-CFT-12F",182,0,3037
"","","","","","7mr1dd8m92","SER-FSDU-CFT-24F",182,0,3037
"","","","","","7mr1nn7uit","SER-FSDU-CFT-48F",182,0,3037
"S6J-0-M&G-11053","S6J-0","","M&G","","7mr1f1jtl1","SER-FSDU-CFT-6F",136,0,1604
"","","","","","7mr11egg0s","SER-FSDU-CFT-12F",136,0,1604
"","","","","","7mr17do9ef","SER-FSDU-CFT-24F",136,0,1604
"","","","","","7mr1pu4ed4","SER-FSDU-CFT-48F",136,0,1604
"M0T-0-M&G-11052","M0T-0","","M&G","","7mr10910jh","SER-FSDU-CFT-6F",49,0,824
"","","","","","7mr12dr0ij","SER-FSDU-CFT-12F",49,0,824
"","","","","","7mr15ma2jv","SER-FSDU-CFT-24F",49,0,824
"","","","","","7mr1ehtd9l","SER-FSDU-CFT-48F",49,0,824
"K0E-0-M&G-11051","K0E-0","","M&G","","7mr1smssf2","SER-FSDU-CFT-6F",168,0,2508
"","","","","","7mr1u654u4","SER-FSDU-CFT-12F",168,0,2508
"","","","","","7mr1qrjltd","SER-FSDU-CFT-24F",168,0,2508
"","","","","","7mr1vf0m7n","SER-FSDU-CFT-48F",168,0,2508
"04O-0-M&G-11050","04O-0","","M&G","","7mr1h1b44s","SER-FSDU-CFT-6F",142,0,2094
"","","","","","7mr13qa7to","SER-FSDU-CFT-12F",142,0,2094
"","","","","","7mr1la875q","SER-FSDU-CFT-24F",142,0,2094
"","","","","","7mr1sa3cbg","SER-FSDU-CFT-48F",142,0,2094
"K38-0-KOL-11049","K38-0","KOL 1 Year Fix","KOL","","0k6ls1l0ka","SER-FSDU-CFT-6F",97,206652,1552
"","","","","","akmffkv4cl","SER-FSDU-CFT-12F",97,128063,1552
"","","","","","akmfcjamvg","SER-FSDU-CFT-24F",97,40342,1552
"","","","","","akmfdl83sh","SER-FSDU-CFT-48F",97,0,1552
"HN8-0-KOL-11048","HN8-0","KOL 1 Year Fix","KOL","","d7s97ee00u","SER-FSDU-CFT-6F",93,0,1912
"","","","","","d7s92if2ue","SER-FSDU-CFT-12F",93,15020,1912
"","","","","","d7s96hepvq","SER-FSDU-CFT-24F",93,0,1912
"","","","","","d7s9je7m2o","SER-FSDU-CFT-48F",93,0,1912
"BG0-0-KOL-11047","BG0-0","KOL 1 Year Fix","KOL","","512g649ig6","SER-FSDU-CFT-6F",75,206652,1200
"","","","","","512gr3815c","SER-FSDU-CFT-12F",75,128063,1200
"","","","","","512gpe0u5m","SER-FSDU-CFT-24F",75,40342,1200
"","","","","","512gchpbgr","SER-FSDU-CFT-48F",75,0,1200
"0B7-0-KOL-11046","0B7-0","KOL 1 Year Fix","KOL","","5a7bij10ef","SER-FSDU-CFT-6F",218,5819,3448
"","","","","","5a7bogno6l","SER-FSDU-CFT-12F",218,3417,3448
"","","","","","5a7br8tpit","SER-FSDU-CFT-24F",218,1002,3448
"","","","","","5a7b2mq8qp","SER-FSDU-CFT-48F",218,0,3448
"KRC-0-KOL-11044","KRC-0","KOL 1 Year Fix","KOL","","3omu73eo4g","SER-FSDU-CFT-6F",162,206652,2592
"","","","","","3omur94330","SER-FSDU-CFT-12F",162,128063,2592
"","","","","","3omu3atig1","SER-FSDU-CFT-24F",162,40342,2592
"","","","","","3omukqo6tu","SER-FSDU-CFT-48F",162,0,2592
"1JL-0-KOL-11043","1JL-0","KOL 1 Year Fix","KOL","","1l7dplgnok","SER-FSDU-CFT-6F",29,12240,464
"","","","","","1l7dnr09vd","SER-FSDU-CFT-12F",29,5204,464
"","","","","","1l7dv0kbft","SER-FSDU-CFT-24F",29,1336,464
"","","","","","1l7d7umtrl","SER-FSDU-CFT-48F",29,0,464
