ID,RSU ID,RSU Code,Hoto Date ,ID (Executed),Executed FAT (Executed),Executed HP (Executed),Hoto Item (Executed),Incremental Hoto(fibre length) (Executed)
,0BT-0-KTK-11289,0BT-0,2025-06-30,,6,48,SER-FSDU-CFT-6F,784
,,,,,6,48,SER-FSDU-CFT-12F,336
,,,,,6,48,SER-FSDU-CFT-24F,0
,,,,,6,48,SER-FSDU-CFT-48F,367
,0CN-0-KTK-11290,0CN-0,2024-10-20,,201,1912,SER-FSDU-CFT-6F,6208
,,,,,201,1912,SER-FSDU-CFT-12F,3200
,,,,,201,1912,SER-FSDU-CFT-24F,5746
,,,,,201,1912,SER-FSDU-CFT-48F,0
,0CX-0-KTK-11291,0CX-0,2025-06-20,,76,656,SER-FSDU-CFT-6F,1689
,,,,,76,656,SER-FSDU-CFT-12F,884
,,,,,76,656,SER-FSDU-CFT-24F,845
,,,,,76,656,SER-FSDU-CFT-48F,1424
,0CX-0-KTK-11291,0CX-0,2025-08-20,,54,456,SER-FSDU-CFT-6F,1326
,,,,,54,456,SER-FSDU-CFT-12F,713
,,,,,54,456,SER-FSDU-CFT-24F,604
,,,,,54,456,SER-FSDU-CFT-48F,700
,0SK-0-KTK-11293,0SK-0,2024-06-20,,20,232,SER-FSDU-CFT-6F,839
,,,,,20,232,SER-FSDU-CFT-12F,273
,,,,,20,232,SER-FSDU-CFT-24F,856
,,,,,20,232,SER-FSDU-CFT-48F,0
,0SK-0-KTK-11293,0SK-0,2024-10-20,,0,0,SER-FSDU-CFT-6F,41
,,,,,0,0,SER-FSDU-CFT-12F,0
,,,,,0,0,SER-FSDU-CFT-24F,0
,,,,,0,0,SER-FSDU-CFT-48F,0
,0SQ-0-KTK-11294,0SQ-0,2024-03-20,,61,488,SER-FSDU-CFT-6F,2937
,,,,,61,488,SER-FSDU-CFT-12F,1730
,,,,,61,488,SER-FSDU-CFT-24F,631
,,,,,61,488,SER-FSDU-CFT-48F,0
,0TI-0-KTK-11295,0TI-0,2024-08-20,,52,488,SER-FSDU-CFT-6F,2138
,,,,,52,488,SER-FSDU-CFT-12F,1950
,,,,,52,488,SER-FSDU-CFT-24F,114
