"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"","0BT-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",7,0,56
"","","","","","","SER-FSDU-CFT-12F",7,0,56
"","","","","","","SER-FSDU-CFT-24F",7,0,56
"","","","","","","SER-FSDU-CFT-48F",7,0,56
"","0CN-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",302,0,2520
"","","","","","","SER-FSDU-CFT-12F",302,0,2520
"","","","","","","SER-FSDU-CFT-24F",302,0,2520
"","","","","","","SER-FSDU-CFT-48F",302,0,2520
"","0CX-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",136,0,1168
"","","","","","","SER-FSDU-CFT-12F",136,0,1168
"","","","","","","SER-FSDU-CFT-24F",136,0,1168
"","","","","","","SER-FSDU-CFT-48F",136,0,1168
"","0MB-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",29,0,344
"","","","","","","SER-FSDU-CFT-12F",29,0,344
"","","","","","","SER-FSDU-CFT-24F",29,0,344
"","","","","","","SER-FSDU-CFT-48F",29,0,344
"","0SK-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",35,0,280
"","","","","","","SER-FSDU-CFT-12F",35,0,280
"","","","","","","SER-FSDU-CFT-24F",35,0,280
"","","","","","","SER-FSDU-CFT-48F",35,0,280
"","0SQ-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",332,0,2856
"","","","","","","SER-FSDU-CFT-12F",332,0,2856
"","","","","","","SER-FSDU-CFT-24F",332,0,2856
"","","","","","","SER-FSDU-CFT-48F",332,0,2856
"","0TI-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",60,0,584
"","","","","","","SER-FSDU-CFT-12F",60,0,584
"","","","","","","SER-FSDU-CFT-24F",60,0,584
"","","","","","","SER-FSDU-CFT-48F",60,0,584
"","0YN-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",189,0,1512
"","","","","","","SER-FSDU-CFT-12F",189,0,1512
"","","","","","","SER-FSDU-CFT-24F",189,0,1512
"","","","","","","SER-FSDU-CFT-48F",189,0,1512
"","2OL-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",184,0,2336
"","","","","","","SER-FSDU-CFT-12F",184,0,2336
"","","","","","","SER-FSDU-CFT-24F",184,0,2336
"","","","","","","SER-FSDU-CFT-48F",184,0,2336
"","2PG-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",317,0,2920
"","","","","","","SER-FSDU-CFT-12F",317,0,2920
"","","","","","","SER-FSDU-CFT-24F",317,0,2920
"","","","","","","SER-FSDU-CFT-48F",317,0,2920
"","2UM-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",254,0,2192
"","","","","","","SER-FSDU-CFT-12F",254,0,2192
"","","","","","","SER-FSDU-CFT-24F",254,0,2192
"","","","","","","SER-FSDU-CFT-48F",254,0,2192
"","2VE-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",199,0,1656
"","","","","","","SER-FSDU-CFT-12F",199,0,1656
"","","","","","","SER-FSDU-CFT-24F",199,0,1656
"","","","","","","SER-FSDU-CFT-48F",199,0,1656
"","ADL-0","KTK 1 Year Fix","KTK","","","SER-FSDU-CFT-6F",344,0,3298
"","","","","","","SER-FSDU-CFT-12F",344,0,3298
"","","","","","","SER-FSDU-CFT-24F",344,0,3298
