ID,RSU Code,SDU Billing Rates,Circle,GST State,ID (Rsu Items),Item (Rsu Items),Plan FAT (Rsu Items),Plan Fibre length (Rsu Items),Plan HP (Rsu Items)
ZJ2-0-DEL-11287,ZJ2-0,DEL 1 Year Fix,DEL,,fji73pddso,SER-FSDU-CFT-6F,52,1485,416
,,,,,fji785o39h,SER-FSDU-CFT-12F,52,1335,416
,,,,,fji7pv73kd,SER-FSDU-CFT-24F,52,1952,416
,,,,,fji7v05hii,SER-FSDU-CFT-48F,52,0,416
Z2Z-0-DEL-11286,Z2Z-0,DEL 1 Year Fix,DEL,,fji7en04n7,SER-FSDU-CFT-6F,57,934,456
,,,,,fji7r2i3n8,SER-FSDU-CFT-12F,57,571,456
,,,,,fji7rroj7f,SER-FSDU-CFT-24F,57,836,456
,,,,,fji76bhh8j,SER-FSDU-CFT-48F,57,0,456
Z2X-0-DEL-11285,Z2X-0,DEL 1 Year Fix,DEL,,fji7108il7,SER-FSDU-CFT-6F,305,12560,2440
,,,,,fji7i26rls,SER-FSDU-CFT-12F,305,12010,2440
,,,,,fji7u01ot9,SER-FSDU-CFT-24F,305,6450,2440
,,,,,fji77kodfo,SER-FSDU-CFT-48F,305,1850,2440
Z2T-0-DEL-11284,Z2T-0,DEL 1 Year Fix,DEL,,fji7g92pi4,SER-FSDU-CFT-6F,126,2080,1520
,,,,,fji7kqlj9t,SER-FSDU-CFT-12F,126,1930,1520
,,,,,fji77aveiq,SER-FSDU-CFT-24F,126,1070,1520
,,,,,fji7i4t8bo,SER-FSDU-CFT-48F,126,720,1520
Z2I-0-DEL-11283,Z2I-0,DEL 1 Year Fix,DEL,,fji75gd6ur,SER-FSDU-CFT-6F,308,5660,2560
,,,,,fji7kune80,SER-FSDU-CFT-12F,308,4440,2560
,,,,,fji7gi8b5a,SER-FSDU-CFT-24F,308,4610,2560
,,,,,fji72bvaed,SER-FSDU-CFT-48F,308,700,2560
Z2C-0-DEL-11282,Z2C-0,DEL 1 Year Fix,DEL,,fji6eloqkm,SER-FSDU-CFT-6F,321,4680,2800
,,,,,fji6va2hg6,SER-FSDU-CFT-12F,321,4515,2800
,,,,,fji6rdrgtu,SER-FSDU-CFT-24F,321,3500,2800
,,,,,fji66k0aka,SER-FSDU-CFT-48F,321,1885,2800
Z2A-0-DEL-11281,Z2A-0,DEL 1 Year Fix,DEL,,fji6rgjess,SER-FSDU-CFT-6F,344,5210,2752
,,,,,fji67l59hi,SER-FSDU-CFT-12F,344,5290,2752
,,,,,fji6ieq4v2,SER-FSDU-CFT-24F,344,5295,2752
,,,,,fji6jvh3ud,SER-FSDU-CFT-48F,344,670,2752
Z0J-0-DEL-11280,Z0J-0,DEL 1 Year Fix,DEL,,fji6p61ggg,SER-FSDU-CFT-6F,67,,536
,,,,,fji6tvj2fe,SER-FSDU-CFT-12F,67,,536
,,,,,fji68v02s0,SER-FSDU-CFT-24F,67,,536
,,,,,fji6s4qcb9,SER-FSDU-CFT-48F,67,,536
W3Z-0-DEL-11279,W3Z-0,DEL 1 Year Fix,DEL,Delhi,fji6qgsens,SER-FSDU-CFT-6F,107,1371,1000
,,,,,fji6f5vvhi,SER-FSDU-CFT-12F,107,1260,1000
