"ID","RSU Code","SDU Billing Rates","Circle","GST State","ID (Rsu Items)","Item (Rsu Items)","Plan FAT (Rsu Items)","Plan Fibre length (Rsu Items)","Plan HP (Rsu Items)"
"IPS,1WB,SHT-0-M&G-11063","IPS,1WB,SHT-0","M&G 1 Year Fix","M&G","","9pf3glmpom","SER-FSDU-CFT-6F",262,0,4000
"","","","","","9pf3q9sfq5","SER-FSDU-CFT-12F",262,0,4000
"","","","","","9pf3eim5od","SER-FSDU-CFT-24F",262,150000,4000
"","","","","","9pf3o9cdgd","SER-FSDU-CFT-48F",262,0,4000
"S8P-0-M&G-11062","S8P-0","M&G 1 Year Fix","M&G","","9pf3phv2ka","SER-FSDU-CFT-6F",147,0,2462
"","","","","","9pf35uiero","SER-FSDU-CFT-12F",147,0,2462
"","","","","","9pf3k8cjkb","SER-FSDU-CFT-24F",147,0,2462
"","","","","","9pf3ms55gp","SER-FSDU-CFT-48F",147,0,2462
"S8O-0-M&G-11061","S8O-0","M&G 1 Year Fix","M&G","","9pf3su4643","SER-FSDU-CFT-6F",182,0,3037
"","","","","","9pf36d9o1i","SER-FSDU-CFT-12F",182,0,3037
"","","","","","9pf3e9cgs6","SER-FSDU-CFT-24F",182,0,3037
"","","","","","9pf3jhc3gq","SER-FSDU-CFT-48F",182,0,3037
"S6J-0-M&G-11060","S6J-0","M&G 1 Year Fix","M&G","","9pf3gioufl","SER-FSDU-CFT-6F",136,0,1604
"","","","","","9pf3sgslbq","SER-FSDU-CFT-12F",136,0,1604
"","","","","","9pf3js7hvs","SER-FSDU-CFT-24F",136,0,1604
"","","","","","9pf3ndm743","SER-FSDU-CFT-48F",136,0,1604
"M0T-0-M&G-11059","M0T-0","M&G 1 Year Fix","M&G","","9pf2l6kiaq","SER-FSDU-CFT-6F",49,0,824
"","","","","","9pf2q595m2","SER-FSDU-CFT-12F",49,0,824
"","","","","","9pf2e9kcpg","SER-FSDU-CFT-24F",49,0,824
"","","","","","9pf2jsiobo","SER-FSDU-CFT-48F",49,0,824
"K0E-0-M&G-11058","K0E-0","M&G 1 Year Fix","M&G","","9pf2k4hfqj","SER-FSDU-CFT-6F",168,0,2508
"","","","","","9pf2p6hchd","SER-FSDU-CFT-12F",168,0,2508
"","","","","","9pf2asm9p3","SER-FSDU-CFT-24F",168,150000,2508
"","","","","","9pf2qe2ctl","SER-FSDU-CFT-48F",168,0,2508
"04O-0-M&G-11057","04O-0","M&G 1 Year Fix","M&G","","9pf2mdr8ip","SER-FSDU-CFT-6F",142,0,2094
"","","","","","9pf24v1udj","SER-FSDU-CFT-12F",142,0,2094
"","","","","","9pf27rrncp","SER-FSDU-CFT-24F",142,0,2094
"","","","","","9pf2602am3","SER-FSDU-CFT-48F",142,0,2094
"K38-0-KOL-11049","K38-0","KOL 1 Year Fix","KOL","","0k6ls1l0ka","SER-FSDU-CFT-6F",97,206652,1552
"","","","","","akmffkv4cl","SER-FSDU-CFT-12F",97,128063,1552
"","","","","","akmfcjamvg","SER-FSDU-CFT-24F",97,40342,1552
"","","","","","akmfdl83sh","SER-FSDU-CFT-48F",97,0,1552
"HN8-0-KOL-11048","HN8-0","KOL 1 Year Fix","KOL","","d7s97ee00u","SER-FSDU-CFT-6F",93,0,1912
"","","","","","d7s92if2ue","SER-FSDU-CFT-12F",93,15020,1912
"","","","","","d7s96hepvq","SER-FSDU-CFT-24F",93,0,1912
"","","","","","d7s9je7m2o","SER-FSDU-CFT-48F",93,0,1912
"BG0-0-KOL-11047","BG0-0","KOL 1 Year Fix","KOL","","512g649ig6","SER-FSDU-CFT-6F",75,206652,1200
"","","","","","512gr3815c","SER-FSDU-CFT-12F",75,128063,1200
"","","","","","512gpe0u5m","SER-FSDU-CFT-24F",75,40342,1200
"","","","","","512gchpbgr","SER-FSDU-CFT-48F",75,0,1200
"0B7-0-KOL-11046","0B7-0","KOL 1 Year Fix","KOL","","5a7bij10ef","SER-FSDU-CFT-6F",218,5819,3448
"","","","","","5a7bogno6l","SER-FSDU-CFT-12F",218,3417,3448
"","","","","","5a7br8tpit","SER-FSDU-CFT-24F",218,1002,3448
"","","","","","5a7b2mq8qp","SER-FSDU-CFT-48F",218,0,3448
"KRC-0-KOL-11044","KRC-0","KOL 1 Year Fix","KOL","","3omu73eo4g","SER-FSDU-CFT-6F",162,206652,2592
"","","","","","3omur94330","SER-FSDU-CFT-12F",162,128063,2592
"","","","","","3omu3atig1","SER-FSDU-CFT-24F",162,40342,2592
"","","","","","3omukqo6tu","SER-FSDU-CFT-48F",162,0,2592
"1JL-0-KOL-11043","1JL-0","KOL 1 Year Fix","KOL","","1l7dplgnok","SER-FSDU-CFT-6F",29,12240,464
"","","","","","1l7dnr09vd","SER-FSDU-CFT-12F",29,5204,464
"","","","","","1l7dv0kbft","SER-FSDU-CFT-24F",29,1336,464
"","","","","","1l7d7umtrl","SER-FSDU-CFT-48F",29,0,464
